model,seed,fp32_kb,int8_kb,fp32_macro_f1,int8_macro_f1,fp32_ms_median,fp32_ms_p95,int8_ms_median,int8_ms_p95,size_ratio,delta_f1,speedup
CNN-LSTM,0,332.7,487.5,0.90375,0.899943,0.255,0.294,0.151,0.154,0.68,-0.00381,1.69
CNN-LSTM,1,332.7,487.5,0.894485,0.894604,0.261,0.265,0.151,0.154,0.68,0.00012,1.73
CNN-LSTM,2,332.7,487.5,0.921069,0.917253,0.287,0.297,0.154,0.156,0.68,-0.00382,1.86
CNN,0,190.6,60.7,0.928612,0.930014,0.022,0.022,0.018,0.018,3.14,0.0014,1.22
CNN,1,190.6,60.7,0.921739,0.918897,0.022,0.022,0.018,0.018,3.14,-0.00284,1.22
CNN,2,190.6,60.7,0.913923,0.905497,0.022,0.022,0.018,0.018,3.14,-0.00843,1.22
LSTM,0,915.3,2392.1,0.917093,0.917708,1.133,1.142,0.651,0.668,0.38,0.00061,1.74
LSTM,1,920.1,2431.7,0.905931,0.899145,1.133,1.145,0.657,0.665,0.38,-0.00679,1.72
LSTM,2,920.1,2431.7,0.910204,0.905107,1.127,1.162,0.664,0.672,0.38,-0.0051,1.7
MLP,0,612.7,160.6,0.908903,0.915856,0.005,0.005,0.002,0.002,3.82,0.00695,2.5
MLP,1,612.7,160.6,0.906695,0.908113,0.005,0.005,0.002,0.003,3.82,0.00142,2.5
MLP,2,612.7,160.6,0.902232,0.905401,0.005,0.005,0.002,0.002,3.82,0.00317,2.5
