model,seed,subject,n_windows,accuracy,macro_f1
CNN-LSTM,0,2,302,0.9205298013245033,0.9108734402852049
CNN-LSTM,0,4,317,0.8958990536277602,0.8936722583005828
CNN-LSTM,0,9,288,0.7465277777777778,0.7129241773839992
CNN-LSTM,0,10,294,0.7142857142857143,0.7012617058609054
CNN-LSTM,0,12,320,0.93125,0.9287593108851157
CNN-LSTM,0,13,327,0.9694189602446484,0.9676197458455523
CNN-LSTM,0,18,364,0.9478021978021978,0.9467336505946989
CNN-LSTM,0,20,354,0.9491525423728814,0.955225677344715
CNN-LSTM,0,24,381,1.0,1.0
CNN-LSTM,1,2,302,0.9205298013245033,0.9105138238501507
CNN-LSTM,1,4,317,0.9116719242902208,0.9108065873302079
CNN-LSTM,1,9,288,0.8194444444444444,0.792936841312245
CNN-LSTM,1,10,294,0.5476190476190477,0.5500416228189269
CNN-LSTM,1,12,320,0.896875,0.8882929703156938
CNN-LSTM,1,13,327,0.9663608562691132,0.9646433180903634
CNN-LSTM,1,18,364,0.9642857142857143,0.9649210204039272
CNN-LSTM,1,20,354,0.9491525423728814,0.9526776791853931
CNN-LSTM,1,24,381,1.0,1.0
CNN-LSTM,2,2,302,0.9139072847682119,0.9046513746691703
CNN-LSTM,2,4,317,0.9274447949526814,0.9265684768531068
CNN-LSTM,2,9,288,0.7951388888888888,0.7436815247145708
CNN-LSTM,2,10,294,0.6972789115646258,0.6888039971437804
CNN-LSTM,2,12,320,0.96875,0.96625148117765
CNN-LSTM,2,13,327,0.981651376146789,0.9807971014492755
CNN-LSTM,2,18,364,0.9642857142857143,0.9649210204039272
CNN-LSTM,2,20,354,0.9745762711864406,0.9778252672819833
CNN-LSTM,2,24,381,1.0,1.0
CNN,0,2,302,0.9172185430463576,0.9064826244716269
CNN,0,4,317,0.917981072555205,0.9166159705499634
CNN,0,9,288,0.8333333333333334,0.8245044209518726
CNN,0,10,294,0.6802721088435374,0.66997049414659
CNN,0,12,320,0.9625,0.9628524046434493
CNN,0,13,327,1.0,1.0
CNN,0,18,364,1.0,1.0
CNN,0,20,354,0.9858757062146892,0.9879195564130643
CNN,0,24,381,1.0,1.0
CNN,1,2,302,0.9271523178807947,0.9194139194139194
CNN,1,4,317,0.8643533123028391,0.8626698661115823
CNN,1,9,288,0.84375,0.839515757994019
CNN,1,10,294,0.6904761904761905,0.6771640357941372
CNN,1,12,320,0.9625,0.9638709677419355
CNN,1,13,327,1.0,1.0
CNN,1,18,364,1.0,1.0
CNN,1,20,354,0.9971751412429378,0.9975939485208842
CNN,1,24,381,0.952755905511811,0.9555194805194804
CNN,2,2,302,0.956953642384106,0.954667503574293
CNN,2,4,317,0.8580441640378549,0.8532857249962514
CNN,2,9,288,0.8055555555555556,0.7771840473819899
CNN,2,10,294,0.7380952380952381,0.7201815184862426
CNN,2,12,320,0.909375,0.9136285068474937
CNN,2,13,327,0.9969418960244648,0.9970235722448111
CNN,2,18,364,1.0,1.0
CNN,2,20,354,0.9830508474576272,0.9812147212350185
CNN,2,24,381,0.9212598425196851,0.9235832217759928
LSTM,0,2,302,0.9205298013245033,0.9108734402852049
LSTM,0,4,317,0.886435331230284,0.8775725869358828
LSTM,0,9,288,0.7708333333333334,0.7228085382205132
LSTM,0,10,294,0.7040816326530612,0.6979219992200799
LSTM,0,12,320,0.996875,0.9965243836211579
LSTM,0,13,327,0.9663608562691132,0.9642605363984674
LSTM,0,18,364,0.9615384615384616,0.9619674669916582
LSTM,0,20,354,0.9745762711864406,0.9781274586939418
LSTM,0,24,381,1.0,1.0
LSTM,1,2,302,0.9271523178807947,0.9194139194139194
LSTM,1,4,317,0.8675078864353313,0.8571274954813713
LSTM,1,9,288,0.75,0.6981885237482252
LSTM,1,10,294,0.6564625850340136,0.6462513924485133
LSTM,1,12,320,0.940625,0.9323768212657102
LSTM,1,13,327,0.9755351681957186,0.975349524627335
LSTM,1,18,364,0.9972527472527473,0.9969960217585451
LSTM,1,20,354,0.9774011299435028,0.9732960335616326
LSTM,1,24,381,0.9921259842519685,0.9926991739941381
LSTM,2,2,302,0.890728476821192,0.8677725688183676
LSTM,2,4,317,0.8769716088328076,0.8689496880027354
LSTM,2,9,288,0.7638888888888888,0.7175994119997351
LSTM,2,10,294,0.6258503401360545,0.6275675900743088
LSTM,2,12,320,0.96875,0.9652625152625153
LSTM,2,13,327,0.9969418960244648,0.9970757983839938
LSTM,2,18,364,0.9862637362637363,0.9855198479187698
LSTM,2,20,354,1.0,1.0
LSTM,2,24,381,0.9973753280839895,0.9971501644135916
MLP,0,2,302,0.9072847682119205,0.8939255696821378
MLP,0,4,317,0.9337539432176656,0.9333634010600304
MLP,0,9,288,0.7951388888888888,0.7653241778010135
MLP,0,10,294,0.6632653061224489,0.6503287160465927
MLP,0,12,320,0.971875,0.9713867074669401
MLP,0,13,327,0.9541284403669725,0.9519466579257405
MLP,0,18,364,0.9642857142857143,0.9647803756023748
MLP,0,20,354,0.9378531073446328,0.9414918369247411
MLP,0,24,381,0.9973753280839895,0.9971501644135916
MLP,1,2,302,0.9105960264900662,0.9011082838563755
MLP,1,4,317,0.9400630914826499,0.939989869193409
MLP,1,9,288,0.78125,0.7509916282176193
MLP,1,10,294,0.6598639455782312,0.6465037702389314
MLP,1,12,320,0.9625,0.9631135797859098
MLP,1,13,327,0.9480122324159022,0.9448374791617851
MLP,1,18,364,0.9587912087912088,0.9588990787343658
MLP,1,20,354,0.9463276836158192,0.9511901306240929
MLP,1,24,381,0.9973753280839895,0.9971501644135916
MLP,2,2,302,0.9006622516556292,0.8881466532037208
MLP,2,4,317,0.9022082018927445,0.9000008771237358
MLP,2,9,288,0.7743055555555556,0.7259758003181142
MLP,2,10,294,0.673469387755102,0.6615858734761174
MLP,2,12,320,0.975,0.9749622675279954
MLP,2,13,327,0.9418960244648318,0.9402138184396249
MLP,2,18,364,0.9642857142857143,0.9647803756023748
MLP,2,20,354,0.9322033898305084,0.9359457671654826
MLP,2,24,381,0.9973753280839895,0.9971501644135916
