model,seed,accuracy,macro_precision,macro_recall,macro_f1,params,epochs_run,best_epoch,best_val_acc,train_seconds,f1_WALKING,f1_WALK_UP,f1_WALK_DOWN,f1_SITTING,f1_STANDING,f1_LAYING
MLP,0,0.9093993892093655,0.9084212800727524,0.910785781584683,0.9089026681559003,156230,50,35,0.9616879224777222,8.0,0.9533678756476683,0.9230769230769231,0.9322799097065463,0.8054679284963197,0.8447789275634995,0.9944444444444445
MLP,1,0.9073634204275535,0.9061919147345013,0.9083231079171372,0.9066954477296507,156230,34,19,0.9589117169380188,5.6,0.9518935516888434,0.9160467587672688,0.9295454545454546,0.8033826638477801,0.8448598130841122,0.9944444444444445
MLP,2,0.9026128266033254,0.9016357098926386,0.9043349029561485,0.9022323765963937,156230,31,16,0.9578012228012085,5.0,0.948905109489051,0.9235602094240838,0.9256756756756757,0.7933541017653167,0.8274547187797903,0.9944444444444445
CNN,0,0.9287410926365796,0.9298987668028412,0.9295381675868684,0.928612259478416,47494,33,5,0.9811215996742249,33.0,0.9734151329243353,0.9497816593886463,0.9435665914221218,0.8385026737967914,0.8701180744777475,0.9962894248608535
CNN,1,0.9212758737699356,0.9213664819344142,0.9223776569495659,0.9217392583771673,47494,63,48,0.9739033579826355,60.5,0.9827760891590679,0.9484978540772532,0.9488372093023256,0.8144329896907216,0.8405253283302064,0.995366079703429
CNN,2,0.9127926705123854,0.9153136524566273,0.9152875706553828,0.9139231483443396,47494,35,7,0.9733481407165527,33.2,0.9837067209775967,0.9396825396825397,0.9566236811254396,0.8045757864632984,0.8008088978766431,0.9981412639405205
LSTM,0,0.9158466236851035,0.9165994596342001,0.9179605910018349,0.9170930303663954,56518,31,2,0.9805663228034973,164.5,0.9733606557377049,0.9605963791267306,0.9572254335260115,0.7987804878048781,0.8181818181818182,0.994413407821229
LSTM,1,0.9063454360366474,0.9073373331116862,0.9080634614455928,0.905931467860608,56518,33,18,0.974458634853363,175.7,0.9299363057324841,0.9182389937106918,0.9135802469135802,0.830078125,0.8511488511488512,0.9926062846580407
LSTM,2,0.9093993892093655,0.9105785469031994,0.9117502881799795,0.9102041993460835,56518,37,22,0.988895058631897,198.6,0.9580712788259959,0.9388185654008439,0.9235955056179775,0.8262164846077458,0.8315688161693936,0.9829545454545454
CNN-LSTM,0,0.9039701391245334,0.90418193295244,0.905144472631504,0.9037495243320568,39366,31,16,0.9755691289901733,47.9,0.9530761209593326,0.9180327868852459,0.9421296296296297,0.782422293676313,0.8324125230202578,0.9944237918215614
CNN-LSTM,1,0.8941296233457754,0.8963959976181396,0.896721274325658,0.8944848177926805,39366,31,8,0.974458634853363,49.6,0.9354497354497354,0.9330499468650372,0.9081081081081082,0.7902542372881356,0.8267644362969753,0.9732824427480916
CNN-LSTM,2,0.9202578893790295,0.9206756950613743,0.9223446229874392,0.9210687617377523,39366,44,29,0.9783453345298767,71.9,0.9539406345957011,0.9708108108108108,0.9545454545454546,0.816032887975334,0.8366383380547686,0.9944444444444445
