model,seed,accuracy,macro_precision,macro_recall,macro_f1,params,epochs_run,best_epoch,train_seconds,f1_WALKING,f1_WALK_UP,f1_WALK_DOWN,f1_SITTING,f1_STANDING,f1_LAYING
MLP,0,0.9080420766881574,0.9080072230548866,0.909032599457161,0.9073459928979458,156230,27,19,2.6,0.9571577847439916,0.9266247379454927,0.9265536723163842,0.7952586206896551,0.8440366972477065,0.9944444444444445
MLP,1,0.8958262639972854,0.8948940079917937,0.8961584304239639,0.8947183970445794,156230,21,13,2.2,0.9457523029682702,0.9022082018927445,0.9128440366972477,0.7840172786177105,0.8290441176470589,0.9944444444444445
MLP,2,0.9036308109942314,0.9029252688496698,0.9055905867372386,0.903579998684248,156230,27,19,2.7,0.9509906152241918,0.9309623430962343,0.9309173272933182,0.7922210849539406,0.821944177093359,0.9944444444444445
CNN,0,0.9063454360366474,0.9072586425767027,0.9074374596231775,0.9053479649798538,47494,13,5,6.5,0.95,0.9302809573361083,0.9387755102040817,0.7764182424916574,0.841255605381166,0.9953574744661096
CNN,1,0.8937902952154734,0.8939507718904864,0.8946485206383633,0.893444804794627,47494,12,4,6.3,0.9382978723404255,0.9151138716356108,0.8985176738882554,0.7942681678607983,0.8181818181818182,0.9962894248608535
CNN,2,0.9199185612487275,0.9203235042091609,0.9211283429930645,0.9204923572320091,47494,13,5,6.5,0.9746192893401016,0.9309623430962343,0.9537366548042705,0.8263473053892215,0.8391472868217055,0.9981412639405205
LSTM,0,0.8998982015609094,0.8985951513631977,0.9010586883860626,0.89955986275818,56518,12,4,36.2,0.9287863590772317,0.9176470588235294,0.9388696655132641,0.7878787878787878,0.8306527909176916,0.9935245143385754
LSTM,1,0.9087207329487614,0.9097436729744156,0.9103573349756643,0.9093021491357374,56518,33,25,101.3,0.9457202505219207,0.9381443298969072,0.9377203290246768,0.816125860373648,0.8199608610567515,0.9981412639405205
LSTM,2,0.9212758737699356,0.9219083153092359,0.9234426023769376,0.9223380580581422,56518,21,13,80.5,0.9754601226993865,0.9442148760330579,0.9534883720930233,0.835030549898167,0.8525519848771267,0.9732824427480916
CNN-LSTM,0,0.9110960298608755,0.9118467683266261,0.9129925701372524,0.910999320705073,39366,25,17,30.9,0.9472595656670114,0.9226006191950464,0.9341040462427745,0.8265107212475633,0.839231547017189,0.9962894248608535
CNN-LSTM,1,0.8951476077366813,0.8983291072558667,0.8980428721225829,0.895410547687456,39366,11,3,13.9,0.9368421052631579,0.8983402489626556,0.90625,0.8322274881516588,0.8273748723186926,0.9714285714285714
CNN-LSTM,2,0.8965049202578894,0.8983950462079641,0.8982157222221914,0.8968359097111037,39366,11,3,13.8,0.9468302658486708,0.9020408163265307,0.9105882352941177,0.8242074927953891,0.8221105527638191,0.9752380952380952
